method,basin_id,trial_idx,decision_time_s,decision_time_kind,prompt_tokens,completion_tokens,cached_tokens,total_tokens,wall_time_s,test_NSE,test_KGE,objective,budget_level,range_policy,stop_flag
M0_A,01543000,1,0,none,0,0,0,0,131.6,0.4155538168709725,0.49653440626421497,NSE,default,default,False
M0_A,03574500,1,0,none,0,0,0,0,125.2,0.5687037640552917,0.4896712074744196,NSE,default,default,False
M0_A,05495000,1,0,none,0,0,0,0,126.5,0.587400550449708,0.5840946033221622,NSE,default,default,False
M0_A,06885500,1,0,none,0,0,0,0,126.5,0.41003123205275716,0.023171204985356852,NSE,default,default,False
M0_A,07197000,1,0,none,0,0,0,0,123.9,0.3229714311968298,-0.2816011591372938,NSE,default,default,False
M0_A_max,01543000,1,0,none,0,0,0,0,612.8,0.4569383371724365,0.5528928273358942,NSE,default,default,False
M0_A_max,03574500,1,0,none,0,0,0,0,736.1,0.6518727294863946,0.5068566311368985,NSE,default,default,False
M0_A_max,05495000,1,0,none,0,0,0,0,739.8,0.5854299837993846,0.6065677790084272,NSE,default,default,False
M0_A_max,06885500,1,0,none,0,0,0,0,752.5,0.5186214787051965,0.21025539263206694,NSE,default,default,False
M0_A_max,07197000,1,0,none,0,0,0,0,712.6,0.35729635343135513,-0.18721947025521857,NSE,default,default,False
M0_A_min,01543000,1,0,none,0,0,0,0,29.2,0.3676820242050224,0.3750372576491603,NSE,default,default,False
M0_A_min,03574500,1,0,none,0,0,0,0,25.4,0.5687037640552917,0.4896712074744196,NSE,default,default,False
M0_A_min,05495000,1,0,none,0,0,0,0,26.3,0.5918330060212875,0.5211364344263445,NSE,default,default,False
M0_A_min,06885500,1,0,none,0,0,0,0,25.6,0.41003123205275716,0.023171204985356852,NSE,default,default,False
M0_A_min,07197000,1,0,none,0,0,0,0,25.8,0.3229714311968298,-0.2816011591372938,NSE,default,default,False
M0_B,01543000,1,0,none,0,0,0,0,134.9,0.4155538168709725,0.49653440626421497,NSE,default,default,False
M0_B,03574500,1,0,none,0,0,0,0,128.9,0.5687037640552917,0.4896712074744196,NSE,default,default,False
M0_B,05495000,1,0,none,0,0,0,0,129.6,0.587400550449708,0.5840946033221622,NSE,default,default,False
M0_B,06885500,1,0,none,0,0,0,0,129.3,0.41003123205275716,0.023171204985356852,NSE,default,default,False
M0_B,07197000,1,0,none,0,0,0,0,134.2,0.3229714311968298,-0.2816011591372938,NSE,default,default,False
M1_B,01543000,1,53.42,human_active,0,0,0,0,132.2,0.4155538168709725,0.49653440626421497,NSE,default,default,False
M1_B,01543000,2,43.0,human_active,0,0,0,0,143.9,0.44432782821027605,0.633265637947259,NSE,default,default,False
M1_B,01543000,3,32.23,human_active,0,0,0,0,302.3,0.5231327659075464,0.6925511864979925,NSE,deep,boundary_expand,False
M1_B,01543000,4,135.49,human_active,0,0,0,0,176.4,0.5184812811815454,0.6685356351480412,NSE,default,boundary_expand,False
M1_B,01543000,5,32.22,human_active,0,0,0,0,161.5,0.4698133719925356,0.5882466511313698,NSE,default,default,False
M1_B,03574500,1,10.29,human_active,0,0,0,0,129.2,0.5687037640552917,0.4896712074744196,NSE,default,default,False
M1_B,03574500,2,55.24,human_active,0,0,0,0,149.4,0.6105215753123692,0.33981444653832227,NSE,default,default,False
M1_B,03574500,3,65.05,human_active,0,0,0,0,249.2,0.5749254755024255,0.4328676188509053,NSE,deep,wide,False
M1_B,03574500,4,91.44,human_active,0,0,0,0,268.0,0.7373767844372334,0.6751918927539482,NSE,deep,wide,False
M1_B,03574500,5,56.81,human_active,0,0,0,0,252.3,0.6862100798547668,0.5566483442416736,NSE,deep,boundary_expand,False
M1_B,05495000,1,254.26,human_active,0,0,0,0,126.5,0.587400550449708,0.5840946033221622,NSE,default,default,False
M1_B,05495000,2,32.87,human_active,0,0,0,0,140.6,0.5397781690508565,0.5597691829325027,NSE,default,wide,False
M1_B,05495000,3,64.5,human_active,0,0,0,0,154.5,0.5592448993896393,0.526294298063654,NSE,default,wide,False
M1_B,05495000,4,103.91,human_active,0,0,0,0,253.0,0.5767622783411452,0.5571508804681884,NSE,deep,wide,False
M1_B,05495000,5,21.94,human_active,0,0,0,0,250.2,0.5701318171740166,0.5678911387622145,NSE,deep,default,False
M1_B,06885500,1,11.84,human_active,0,0,0,0,125.8,0.41003123205275716,0.023171204985356852,NSE,default,default,False
M1_B,06885500,2,13.57,human_active,0,0,0,0,149.0,0.4684836219972429,0.29923846567898715,NSE,default,wide,False
M1_B,06885500,3,23.53,human_active,0,0,0,0,244.3,0.4349713496005305,0.3797882936739504,NSE,deep,boundary_expand,False
M1_B,06885500,4,33.7,human_active,0,0,0,0,249.0,0.46171860178301316,-0.304356382145232,NSE,deep,boundary_expand,False
M1_B,06885500,5,60.63,human_active,0,0,0,0,267.5,0.47855438312656906,0.25719998575663094,NSE,deep,boundary_expand,False
M1_B,07197000,1,29.7,human_active,0,0,0,0,124.2,0.3229714311968298,-0.2816011591372938,NSE,default,default,False
M1_B,07197000,2,14.47,human_active,0,0,0,0,138.6,0.4428041977103869,0.3718016670625788,NSE,default,wide,False
M1_B,07197000,3,13.0,human_active,0,0,0,0,157.4,0.44371925231621867,0.31881682341917006,NSE,default,boundary_expand,False
M1_B,07197000,4,11.0,human_active,0,0,0,0,262.6,0.4921756054242262,0.39725052202304767,NSE,deep,boundary_expand,False
M1_B,07197000,5,11.99,human_active,0,0,0,0,247.5,0.5451013327656948,0.6201708508084869,NSE,deep,boundary_expand,False
M2_A,01543000,1,0,llm_decision_elapsed,0,0,0,0,129.3,0.4155538168709725,0.49653440626421497,NSE,default,default,False
M2_A,01543000,2,9.46,llm_decision_elapsed,510,822,256,1332,0.2,,,KGE,default,climate_prior,False
